season,episode,m3u8_url
1,19,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729555-47IVFD401JEJ31M.smil/playlist.m3u8?hdnts=exp=1787011944~acl=/royatvvod/smil:itwfcdn/royatv/2729555-47IVFD401JEJ31M.smil/*~hmac=4372c94a80e8356b49c67a34c3ea209337d56c2573ea16331541ae375217b884"
1,20,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729564-M04kT8MPr934F4b.smil/playlist.m3u8?hdnts=exp=1787011956~acl=/royatvvod/smil:itwfcdn/royatv/2729564-M04kT8MPr934F4b.smil/*~hmac=b6c64b61f73e62b05a59c91d380681818326e5ee3ceb1d0dc09adbf81eaaa776"
1,21,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729811-3H1Q0yt89E912CH.smil/playlist.m3u8?hdnts=exp=1787011967~acl=/royatvvod/smil:itwfcdn/royatv/2729811-3H1Q0yt89E912CH.smil/*~hmac=e5f100085771f707b3c87f48e11b9ffd750e3b0dcd9557398bbf1d78dd1e2160"
1,22,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729827-J9THqO6238Pu53X.smil/playlist.m3u8?hdnts=exp=1787011982~acl=/royatvvod/smil:itwfcdn/royatv/2729827-J9THqO6238Pu53X.smil/*~hmac=142405d2cc6e1e3d6c7550c90eaf9036e2ca9eddfa76636b097c4eb7addcdd02"
1,23,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729836-248G7O2MNu780Rx.smil/playlist.m3u8?hdnts=exp=1787012056~acl=/royatvvod/smil:itwfcdn/royatv/2729836-248G7O2MNu780Rx.smil/*~hmac=6b0e6689749e3ffcd08d7f7c5e19d8d2f92f635ef76f34586ef70dffe3e29a04"
1,24,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2730586-46fS0A4X0Gbg31J.smil/playlist.m3u8?hdnts=exp=1787012068~acl=/royatvvod/smil:itwfcdn/royatv/2730586-46fS0A4X0Gbg31J.smil/*~hmac=3dc7e862230514be9fafe7e2bd5bfaa967183b27437fccc1970929919f7a809c"
1,25,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2730587-C8nbkH51172OW28.smil/playlist.m3u8?hdnts=exp=1787012082~acl=/royatvvod/smil:itwfcdn/royatv/2730587-C8nbkH51172OW28.smil/*~hmac=667257976b99a2ccc13b4eab06937ab586a3bfe7bf00d4ade913046864a7c536"
1,26,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2730611-UJEsCZ844G5FN5J.smil/playlist.m3u8?hdnts=exp=1787012095~acl=/royatvvod/smil:itwfcdn/royatv/2730611-UJEsCZ844G5FN5J.smil/*~hmac=54d73f47404184ef9184ae1aeff690cdf5c8fc83c8f5978a7b6499055f0c9028"
1,27,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2730613-2YTHQ3J77v7U18Y.smil/playlist.m3u8?hdnts=exp=1787012118~acl=/royatvvod/smil:itwfcdn/royatv/2730613-2YTHQ3J77v7U18Y.smil/*~hmac=d2cdc0ce985216fe3d170eeee698b03b30d08705d3188ec219567f8b3ea44924"
1,28,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2730622-C8nbKH51172OW28.smil/playlist.m3u8?hdnts=exp=1787012142~acl=/royatvvod/smil:itwfcdn/royatv/2730622-C8nbKH51172OW28.smil/*~hmac=b1dfd9acd82797cd2c193c48a796264a7eb22345072079d6367636ea3aed8741"
1,29,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2731055-tH1704s895Y1MC6.smil/playlist.m3u8?hdnts=exp=1787012223~acl=/royatvvod/smil:itwfcdn/royatv/2731055-tH1704s895Y1MC6.smil/*~hmac=2c8370dcb3daa31e88d803320021e9f4b57263d47b6de8d95e4c58e5a8fbac1d"
1,30,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2731078-2zUIR3K77w7V18z.smil/playlist.m3u8?hdnts=exp=1787029234~acl=/royatvvod/smil:itwfcdn/royatv/2731078-2zUIR3K77w7V18z.smil/*~hmac=75680b612dada4569c6fb1fe752a71f7e40f6e9df3ae26603628246ec147d26d"
